feature,coef,abs_coef,pct_change
site_id_119,-3.0895787725315764,3.0895787725315764,-95.44788748849848
site_id_105,-3.020673859203375,3.020673859203375,-95.1231655710624
site_id_123,-2.8969206505932794,2.8969206505932794,-94.4807083079682
site_id_143,2.7334593156382354,2.7334593156382354,1438.6020164927777
site_id_107,2.390925387270106,2.390925387270106,992.3597825690402
site_id_142,2.3701743619388056,2.3701743619388056,969.9257664790844
site_id_138,1.9918542821987049,1.9918542821987049,632.9111410844625
site_id_114,-1.9606009019056392,1.9606009019056392,-85.92261957468071
site_id_140,1.9503184728248506,1.9503184728248506,603.0926383058027
site_id_124,-1.8394153932943584,1.8394153932943584,-84.10897010163963
site_id_100,1.808440448192288,1.808440448192288,510.09252999510295
site_id_137,1.7828051260064608,1.7828051260064608,494.65137651007797
site_id_28,-1.7127608856235996,1.7127608856235996,-81.96328684596634
site_id_34,-1.6603999144242163,1.6603999144242163,-80.99370440166439
site_id_106,-1.6399166653150994,1.6399166653150994,-80.60037917698244
site_id_69,1.6379487326792113,1.6379487326792113,414.4605719766348
site_id_109,1.5907501987559993,1.5907501987559993,390.74290949279896
site_id_83,-1.5330211102370008,1.5330211102370008,-78.41175236274623
site_id_78,-1.5013030066205046,1.5013030066205046,-77.71603905916002
site_id_33,-1.5005516846967355,1.5005516846967355,-77.69929033970455
site_id_64,1.4457362070449933,1.4457362070449933,324.4976174077607
site_id_32,-1.414078692354914,1.414078692354914,-75.68504741961559
site_id_86,-1.3921284440817474,1.3921284440817474,-75.14542744367394
site_id_58,-1.3914793131906624,1.3914793131906624,-75.12928833521269
site_id_125,1.3047693653736563,1.3047693653736563,268.6838682979668
site_id_52,1.302631095315756,1.302631095315756,267.8963648691074
site_id_85,-1.2543089114201396,1.2543089114201396,-71.47270710201586
site_id_82,-1.197479268636497,1.197479268636497,-69.80456006797291
site_id_81,-1.190486061864672,1.190486061864672,-69.59265703569328
site_id_110,1.1892153900721685,1.1892153900721685,228.45031423541826
site_id_118,1.188952727837937,1.188952727837937,228.36405407118684
site_id_60,-1.0279854106633035,1.0279854106633035,-64.22730920593112
site_id_80,-1.026779892749668,1.026779892749668,-64.18415858216076
site_id_13,0.9965430740112249,0.9965430740112249,170.89011528539274
site_id_120,-0.9863439733063357,0.9863439733063357,-62.70623283019593
site_id_29,-0.9662542893645419,0.9662542893645419,-61.949436387207534
site_id_57,-0.9531021670337515,0.9531021670337515,-61.44568528322543
site_id_2,0.9416798399767496,0.9416798399767496,156.4285391436458
site_id_89,0.9174906215716985,0.9174906215716985,150.3001524632984
site_id_16,0.8893022483156168,0.8893022483156168,143.34311281166094
site_id_99,-0.8779431245798908,0.8779431245798908,-58.4363053522209
site_id_132,-0.8699038961163313,0.8699038961163313,-58.10081859466383
site_id_51,0.8628788741398533,0.8628788741398533,136.9973738158472
site_id_42,-0.8618268362217132,0.8618268362217132,-57.76102598157955
site_id_3,0.8485359940896071,0.8485359940896071,133.62241011815348
site_id_133,-0.8468086639891299,0.8468086639891299,-57.121886453965175
site_id_17,0.8375992301830039,0.8375992301830039,131.08125829365153
site_id_73,0.8319175978572202,0.8319175978572202,129.77206225375673
site_id_41,-0.8204799056198019,0.8204799056198019,-55.977966041047324
site_id_103,-0.8116217477017923,0.8116217477017923,-55.58627966367437
