site_id,date,total_count,n_slots,commute_count,precip_mm,rainy_slots,heavy_slots,temp_mean,wind_mean,gust_max,hum_mean,pressure_mean,sun_min,radiation_mean,station_km,site_lat,site_lon,dow,month,weekend,rain_day,heavy_rain_day,commute_share,holiday,summer_break,covid
1,2019-10-01,254.0,174,89.0,45.98,70,18,15.545804597701148,,17.49,90.66896551724138,989.2214942528736,0.0,61.176563218390804,14.972683799800057,50.91618331151478,4.456121776137429,1,10,0,1,1,0.35039370078740156,0,0,0
1,2019-10-02,409.0,192,86.0,5.28,12,2,11.025677083333333,,11.98,82.20760416666667,999.06046875,0.0,94.65890104166665,14.972683799800057,50.91618331151478,4.456121776137429,2,10,0,1,1,0.21026894865525672,0,0,0
1,2019-10-03,422.0,192,126.0,0.0,0,0,9.396515625000001,,6.52,78.13057291666667,1006.0078125,0.0,93.53531249999999,14.972683799800057,50.91618331151478,4.456121776137429,3,10,0,0,0,0.2985781990521327,0,0,0
1,2019-10-04,281.0,192,80.0,6.92,38,0,11.84015625,,12.81,82.93546875,993.93421875,0.0,50.982708333333335,14.972683799800057,50.91618331151478,4.456121776137429,4,10,0,1,1,0.2846975088967972,0,0,0
1,2019-10-05,200.0,192,89.0,0.0,0,0,10.44328125,,7.38,85.52635416666668,1001.36875,0.0,74.56922395833332,14.972683799800057,50.91618331151478,4.456121776137429,5,10,1,0,0,0.445,0,0,0
1,2019-10-06,109.0,192,18.0,17.54,62,4,11.375416666666666,,14.85,91.02395833333333,998.19828125,0.0,41.85140104166667,14.972683799800057,50.91618331151478,4.456121776137429,6,10,1,1,1,0.1651376146788991,0,0,0
1,2019-10-07,442.0,192,112.0,0.54,4,0,10.693229166666667,,9.56,92.5078125,1002.7160937499999,0.0,43.75321875,14.972683799800057,50.91618331151478,4.456121776137429,0,10,0,1,0,0.25339366515837103,0,0,0
1,2019-10-08,292.0,192,75.0,17.92,78,2,12.857083333333334,,12.48,92.40833333333335,996.4749479166667,0.0,48.380828125,14.972683799800057,50.91618331151478,4.456121776137429,1,10,0,1,1,0.2568493150684932,0,0,0
1,2019-10-09,364.0,192,100.0,3.06,18,0,11.383020833333333,,13.41,86.48020833333334,995.1245833333334,0.0,59.90701562500001,14.972683799800057,50.91618331151478,4.456121776137429,2,10,0,1,0,0.27472527472527475,0,0,0
1,2019-10-10,512.0,192,162.0,0.0,0,0,12.19828125,,12.22,79.60442708333333,1000.13234375,0.0,116.67377604166667,14.972683799800057,50.91618331151478,4.456121776137429,3,10,0,0,0,0.31640625,0,0,0
1,2019-10-11,367.0,192,107.0,0.0,0,0,14.143125,,15.3,78.62760416666667,1000.2558333333333,0.0,41.094109375,14.972683799800057,50.91618331151478,4.456121776137429,4,10,0,0,0,0.29155313351498635,0,0,0
1,2019-10-12,230.0,192,86.0,0.0,0,0,15.776927083333334,,13.03,79.68703125,997.2283333333334,0.0,86.08317708333334,14.972683799800057,50.91618331151478,4.456121776137429,5,10,1,0,0,0.3739130434782609,0,0,0
1,2019-10-13,301.0,192,41.0,1.52,8,0,18.375052083333333,,18.93,80.09583333333333,995.830625,0.0,97.717375,14.972683799800057,50.91618331151478,4.456121776137429,6,10,1,1,0,0.1362126245847176,0,0,0
1,2019-10-14,442.0,192,148.0,0.48,6,0,16.830572916666664,,10.78,81.18697916666666,996.9240625000001,0.0,93.229359375,14.972683799800057,50.91618331151478,4.456121776137429,0,10,0,1,0,0.334841628959276,0,0,0
1,2019-10-15,392.0,192,111.0,0.88,12,0,14.836458333333333,,10.26,82.56135416666667,994.0055208333333,0.0,30.243796875,14.972683799800057,50.91618331151478,4.456121776137429,1,10,0,1,0,0.28316326530612246,0,0,0
1,2019-10-16,332.0,192,82.0,22.3,98,0,12.414322916666668,,13.37,92.57135416666667,995.5419270833332,0.0,28.010145833333336,14.972683799800057,50.91618331151478,4.456121776137429,2,10,0,1,1,0.2469879518072289,0,0,0
1,2019-10-17,457.0,192,128.0,2.02,18,0,13.163333333333334,,12.78,89.70104166666665,996.4711979166667,0.0,73.77664583333333,14.972683799800057,50.91618331151478,4.456121776137429,3,10,0,1,0,0.2800875273522976,0,0,0
1,2019-10-18,332.0,192,87.0,2.6,12,0,13.015416666666667,,16.52,77.37697916666666,993.3955729166668,0.0,87.58452604166666,14.972683799800057,50.91618331151478,4.456121776137429,4,10,0,1,0,0.2620481927710843,0,0,0
1,2019-10-19,174.0,192,55.0,8.46,46,0,11.721822916666667,,11.65,86.878125,992.1236979166666,0.0,51.74930208333333,14.972683799800057,50.91618331151478,4.456121776137429,5,10,1,1,1,0.3160919540229885,0,0,0
1,2019-10-20,102.0,192,17.0,6.7,50,0,10.616302083333332,,8.19,93.0421875,995.3685416666667,0.0,25.798588541666664,14.972683799800057,50.91618331151478,4.456121776137429,6,10,1,1,1,0.16666666666666666,0,0,0
1,2019-10-21,352.0,192,104.0,7.04,40,0,11.409999999999998,,11.4,92.7375,1001.7347916666666,0.0,39.076401041666664,14.972683799800057,50.91618331151478,4.456121776137429,0,10,0,1,1,0.29545454545454547,0,0,0
1,2019-10-22,482.0,192,138.0,0.44,8,0,12.079947916666667,,7.96,89.33072916666667,1010.3630208333334,0.0,58.97188541666667,14.972683799800057,50.91618331151478,4.456121776137429,1,10,0,1,0,0.2863070539419087,0,0,0
1,2019-10-23,523.0,192,128.0,0.08,2,0,13.112447916666667,,8.03,86.89010416666667,1001.9543229166667,0.0,75.40033333333334,14.972683799800057,50.91618331151478,4.456121776137429,2,10,0,1,0,0.2447418738049713,0,0,0
1,2019-10-24,495.0,192,130.0,0.12,2,0,15.34015625,,15.4,78.848125,995.3659375000001,0.0,86.13706770833333,14.972683799800057,50.91618331151478,4.456121776137429,3,10,0,1,0,0.26262626262626265,0,0,0
1,2019-10-25,377.0,192,99.0,0.12,2,0,13.325989583333333,,14.53,83.47958333333334,1004.615625,0.0,80.721828125,14.972683799800057,50.91618331151478,4.456121776137429,4,10,0,1,0,0.2625994694960212,0,0,0
1,2019-10-26,270.0,192,87.0,0.0,0,0,16.206666666666667,,16.33,72.79182291666667,1001.1376041666667,0.0,89.55317187499999,14.972683799800057,50.91618331151478,4.456121776137429,5,10,1,0,0,0.32222222222222224,0,0,0
1,2019-10-27,231.0,200,55.0,19.16,54,2,9.459529999999999,,13.93,85.82115,1007.7795,0.0,46.89526,14.972683799800057,50.91618331151478,4.456121776137429,6,10,1,1,1,0.23809523809523808,0,0,0
1,2019-10-28,323.0,192,159.0,0.0,0,0,7.602854166666667,,6.389,82.40875,1010.6833333333334,0.0,95.42775,14.972683799800057,50.91618331151478,4.456121776137429,0,10,0,0,0,0.49226006191950467,0,0,0
1,2019-10-29,384.0,192,172.0,0.0,0,0,7.971125000000001,,8.5,78.42197916666667,1011.4677083333332,0.0,76.52483333333333,14.972683799800057,50.91618331151478,4.456121776137429,1,10,0,0,0,0.4479166666666667,0,0,0
1,2019-10-30,313.0,192,113.0,0.0,0,0,5.231692708333333,,9.57,83.80807291666666,1012.4109374999999,0.0,58.001734375000005,14.972683799800057,50.91618331151478,4.456121776137429,2,10,0,0,0,0.3610223642172524,0,0,0
1,2019-10-31,345.0,192,133.0,0.0,0,0,4.97125,,7.17,81.73166666666667,1007.6223958333334,0.0,92.54531770833334,14.972683799800057,50.91618331151478,4.456121776137429,3,10,0,0,0,0.3855072463768116,0,0,0
1,2019-11-01,81.0,192,17.0,10.559999999999999,50,2,10.016213541666668,,11.17,92.58749999999999,992.7720833333333,0.0,22.093557291666666,14.972683799800057,50.91618331151478,4.456121776137429,4,11,0,1,1,0.20987654320987653,1,0,0
1,2019-11-02,142.0,192,52.0,9.200000000000001,36,2,12.958385416666667,,19.73,83.16385416666667,977.1997395833333,0.0,43.05954166666667,14.972683799800057,50.91618331151478,4.456121776137429,5,11,1,1,1,0.36619718309859156,0,0,0
1,2019-11-03,144.0,192,17.0,11.94,76,0,10.523333333333333,,12.8,93.78020833333333,971.9948437500001,0.0,33.484,14.972683799800057,50.91618331151478,4.456121776137429,6,11,1,1,1,0.11805555555555555,0,0,0
1,2019-11-04,352.0,192,169.0,2.0,18,0,10.260364583333333,,13.02,87.56041666666665,975.6044791666667,0.0,45.150739583333326,14.972683799800057,50.91618331151478,4.456121776137429,0,11,0,1,0,0.48011363636363635,0,0,0
1,2019-11-05,422.0,192,191.0,1.06,12,0,8.421630208333333,,8.96,90.3796875,983.4591145833333,0.0,28.16361458333333,14.972683799800057,50.91618331151478,4.456121776137429,1,11,0,1,0,0.45260663507109006,0,0,0
1,2019-11-06,409.0,192,154.0,2.36,18,0,8.519671875,,4.645,93.159375,989.8182812499999,0.0,25.294557291666667,14.972683799800057,50.91618331151478,4.456121776137429,2,11,0,1,0,0.3765281173594132,0,0,0
1,2019-11-07,326.0,192,136.0,14.1,40,4,7.297999999999999,,14.09,90.33333333333333,984.7160937499999,0.0,34.52427604166667,14.972683799800057,50.91618331151478,4.456121776137429,3,11,0,1,1,0.4171779141104294,0,0,0
1,2019-11-08,363.0,192,165.0,0.0,0,0,5.310109375,,7.26,88.03333333333335,992.7563020833333,0.0,79.71194270833332,14.972683799800057,50.91618331151478,4.456121776137429,4,11,0,0,0,0.45454545454545453,0,0,0
1,2019-11-09,186.0,192,59.0,3.12,16,0,5.28590625,,9.38,90.08437500000001,995.3770312500001,0.0,53.789390625,14.972683799800057,50.91618331151478,4.456121776137429,5,11,1,1,0,0.3172043010752688,0,0,0
1,2019-11-10,232.0,192,52.0,0.06,2,0,4.21471875,,7.22,87.46166666666666,998.3728124999999,0.0,74.57978645833333,14.972683799800057,50.91618331151478,4.456121776137429,6,11,1,1,0,0.22413793103448276,0,0,0
1,2019-11-11,92.0,192,15.0,9.16,32,0,5.3991614583333325,,15.81,90.1828125,992.6919270833333,0.0,20.461390625,14.972683799800057,50.91618331151478,4.456121776137429,0,11,0,1,1,0.16304347826086957,1,0,0
1,2019-11-12,342.0,192,155.0,0.54,8,0,4.810713541666667,,12.87,85.56093750000001,988.3035416666667,0.0,46.767109375,14.972683799800057,50.91618331151478,4.456121776137429,1,11,0,1,0,0.45321637426900585,0,0,0
1,2019-11-13,376.0,192,119.0,6.14,30,2,6.1032343749999995,,9.96,90.09895833333333,987.8208854166666,0.0,32.95650520833333,14.972683799800057,50.91618331151478,4.456121776137429,2,11,0,1,1,0.31648936170212766,0,0,0
1,2019-11-14,310.0,192,133.0,2.24,16,0,5.168645833333334,,12.67,87.47395833333333,986.8402083333334,0.0,29.53615625,14.972683799800057,50.91618331151478,4.456121776137429,3,11,0,1,0,0.4290322580645161,0,0,0
1,2019-11-15,272.0,192,103.0,0.0,0,0,3.688697916666667,,10.66,87.13177083333333,987.6549479166666,0.0,14.710932291666667,14.972683799800057,50.91618331151478,4.456121776137429,4,11,0,0,0,0.3786764705882353,0,0,0
1,2019-11-16,178.0,192,52.0,0.06,2,0,3.744223958333333,,8.29,85.60260416666667,994.7404166666666,0.0,57.753729166666666,14.972683799800057,50.91618331151478,4.456121776137429,5,11,1,1,0,0.29213483146067415,0,0,0
1,2019-11-17,180.0,192,29.0,0.0,0,0,4.452625,,7.26,84.3359375,997.8597916666666,0.0,56.47978125,14.972683799800057,50.91618331151478,4.456121776137429,6,11,1,0,0,0.16111111111111112,0,0,0
1,2019-11-18,273.0,192,125.0,9.540000000000001,76,0,5.232828125,,9.47,90.04739583333333,997.3939583333332,0.0,5.823182291666666,14.972683799800057,50.91618331151478,4.456121776137429,0,11,0,1,1,0.45787545787545786,0,0,0
1,2019-11-19,385.0,192,160.0,0.06,2,0,3.442317708333333,,6.201,87.20968749999999,1004.4098958333334,0.0,65.81296875,14.972683799800057,50.91618331151478,4.456121776137429,1,11,0,1,0,0.4155844155844156,0,0,0
1,2019-11-20,371.0,192,127.0,0.12,2,0,1.4886406250000002,,7.87,85.68291666666666,1003.1254166666666,0.0,67.30057291666667,14.972683799800057,50.91618331151478,4.456121776137429,2,11,0,1,0,0.3423180592991914,0,0,0
1,2019-11-21,366.0,192,155.0,0.06,2,0,1.8223125,,9.57,90.20937500000001,994.3265625,0.0,36.110203125,14.972683799800057,50.91618331151478,4.456121776137429,3,11,0,1,0,0.42349726775956287,0,0,0
1,2019-11-22,396.0,192,166.0,0.0,0,0,7.441468749999999,,11.74,82.30552083333333,989.2040625,0.0,55.4478125,14.972683799800057,50.91618331151478,4.456121776137429,4,11,0,0,0,0.41919191919191917,0,0,0
1,2019-11-23,162.0,192,39.0,0.06,2,0,6.7877552083333335,,10.47,80.54739583333334,984.2947916666667,0.0,17.572880208333334,14.972683799800057,50.91618331151478,4.456121776137429,5,11,1,1,0,0.24074074074074073,0,0,0
1,2019-11-24,229.0,192,51.0,0.0,0,0,7.3816041666666665,,6.186,88.7734375,993.2090625,0.0,43.870807291666665,14.972683799800057,50.91618331151478,4.456121776137429,6,11,1,0,0,0.22270742358078602,0,0,0
1,2019-11-25,403.0,192,174.0,0.0,0,0,8.636770833333333,,9.31,85.04359375,995.12953125,0.0,55.80292708333334,14.972683799800057,50.91618331151478,4.456121776137429,0,11,0,0,0,0.4317617866004963,0,0,0
1,2019-11-26,426.0,192,175.0,0.94,18,0,10.378229166666666,,13.0,90.29427083333333,989.2372395833332,0.0,17.229552083333335,14.972683799800057,50.91618331151478,4.456121776137429,1,11,0,1,0,0.4107981220657277,0,0,0
1,2019-11-27,289.0,192,100.0,15.76,68,4,10.237447916666666,,23.39,88.8703125,976.29359375,0.0,16.986994791666667,14.972683799800057,50.91618331151478,4.456121776137429,2,11,0,1,1,0.3460207612456747,0,0,0
1,2019-11-28,231.0,192,108.0,18.02,94,2,9.194427083333332,,17.0,91.56875000000001,981.2540625,0.0,12.929708333333332,14.972683799800057,50.91618331151478,4.456121776137429,3,11,0,1,1,0.4675324675324675,0,0,0
1,2019-11-29,334.0,192,130.0,7.18,38,0,6.013546875,,6.607,87.81510416666667,999.3050520833334,0.0,36.876322916666666,14.972683799800057,50.91618331151478,4.456121776137429,4,11,0,1,1,0.38922155688622756,0,0,0
1,2019-11-30,164.0,192,61.0,0.12,2,0,2.8054479166666666,,7.29,89.99546875,1009.490625,0.0,49.97060416666667,14.972683799800057,50.91618331151478,4.456121776137429,5,11,1,1,0,0.3719512195121951,0,0,0
1,2019-12-01,122.0,192,23.0,0.0,0,0,1.9118125,,8.6,84.61666666666666,1006.7447916666666,0.0,19.629901041666667,14.972683799800057,50.91618331151478,4.456121776137429,6,12,1,0,0,0.1885245901639344,0,0,0
1,2019-12-02,322.0,192,139.0,1.5,16,0,2.651390625,,3.962,93.86197916666667,1014.5145833333332,0.0,35.754625,14.972683799800057,50.91618331151478,4.456121776137429,0,12,0,1,0,0.43167701863354035,0,0,0
1,2019-12-03,373.0,192,161.0,0.06,2,0,1.9765937500000001,,3.555,96.44427083333333,1015.5515624999999,0.0,34.90840625,14.972683799800057,50.91618331151478,4.456121776137429,1,12,0,1,0,0.4316353887399464,0,0,0
1,2019-12-04,384.0,192,159.0,0.06,2,0,2.51078125,,4.66,88.33265625,1008.9364583333332,0.0,45.500875,14.972683799800057,50.91618331151478,4.456121776137429,2,12,0,1,0,0.4140625,0,0,0
