main_feature,importance,importance_pct
site_id,0.4148676619969837,41.486766199698366
station_km,0.23284120867374533,23.28412086737453
commute_share,0.1288177327768554,12.881773277685538
radiation_mean,0.096203201612156,9.620320161215597
weekend,0.03336041315024273,3.3360413150242723
temp_mean,0.017191369477207494,1.719136947720749
rainy_slots,0.01644056419908119,1.6440564199081187
pressure_mean,0.014686056434906475,1.4686056434906474
dow,0.01284019111888746,1.2840191118887458
sun_min,0.0056679867970071554,0.5667986797007154
log_rain,0.005624761780822492,0.5624761780822491
wind_mean,0.005505455560100163,0.5505455560100162
month,0.00494806743890208,0.4948067438902079
gust_max,0.004385703703367992,0.4385703703367991
hum_mean,0.0024940275325874587,0.2494027532587458
holiday,0.002359940185981618,0.23599401859816177
n_slots,0.0009301343856254051,0.09301343856254049
covid,0.00045519382399849016,0.04551938239984901
heavy_slots,0.00025561765621951,0.025561765621950994
rain_day,7.193410117882317e-05,0.007193410117882315
heavy_rain_day,5.2777594143146005e-05,0.0052777594143146
