site_id,site_lat,site_lon,rain_penalty_pct,rain_penalty_count,median_daily_count,rain_share,commute_share,station_km,weather_resilience_index,log_median_daily_count,used_in_clustering,cluster
1,50.91618331151478,4.456121776137429,0.2245036706545367,89.18806230200468,369.0,0.5656996587030717,0.2974745021855269,14.972683799800055,0.7754963293454633,5.91350300563827,True,2
10,50.93549,4.01571,0.1783128916530801,47.772952444228224,282.0,0.5976962457337884,0.313953488372093,14.848313522523696,0.8216871083469199,5.645446897643238,True,2
100,51.0457,4.46883,0.0,0.0,1620.0,0.5984790874524715,0.2722513089005235,5.089265755710673,1.0,7.390798521735676,True,3
101,50.97799,5.04481,0.0426735318579127,11.139766161883458,300.0,0.5729564553093965,0.2767857142857143,27.09317077256348,0.9573264681420872,5.707110264748875,True,3
102,50.9779,5.04474,0.059137662776274,12.10449475770416,240.0,0.571319018404908,0.3197550939138515,27.102947390313943,0.940862337223726,5.484796933490655,True,2
103,51.31681,4.73872,0.1509725710063973,23.15121933701265,169.0,0.5726299694189603,0.3587142074918671,22.704384889445336,0.8490274289936026,5.135798437050262,True,2
104,51.31682,4.73852,0.1223159923545251,19.26019498702047,177.0,0.5726299694189603,0.2985781990521327,22.717204689805005,0.8776840076454748,5.181783550292085,True,2
105,50.75509,4.24943,0.4355838529526499,4.528887032100642,38.5,0.5785714285714286,0.3157894736842105,8.917136419511992,0.5644161470473501,3.676300671907076,False,
106,50.75533,4.24951,0.0779675407372948,3.189432735156304,46.0,0.5814843152257078,0.2972972972972973,8.898496763005497,0.9220324592627052,3.8501476017100584,True,3
107,50.8870744,4.7087919,0.0,0.0,4443.0,0.6001552795031055,0.2533951608654495,24.566074302296073,1.0,8.39931015075952,True,3
108,50.8471728,4.6954674,0.0780648621374562,52.2618466522963,758.5,0.5878693623639192,0.2872111978431926,24.37030715070776,0.9219351378625438,6.632660322035828,True,3
109,50.9903936,4.4707023,0.1276349820156541,145.35616159110884,1628.0,0.5985970381917382,0.2735008103727714,10.147789860063003,0.8723650179843458,7.395721608602045,True,3
11,50.93385,4.01647,0.2145183491406016,79.3495736062945,380.0,0.5972696245733788,0.312316715542522,14.960667990339545,0.7854816508593984,5.942799375126701,True,2
110,51.1739426,4.811783,0.1307141901524854,119.96870778085548,965.0,0.58046875,0.3537061533720659,15.913469722576002,0.8692858098475146,6.873163834212518,True,2
111,50.8871216,4.4597084,0.2083518244958359,84.40938258364523,424.5,0.5915492957746479,0.2887940596901956,12.340920352077186,0.7916481755041641,6.053264948013429,True,2
112,51.1354992,4.9394789,0.075075708636711,32.19123098305977,557.5,0.5816326530612245,0.3462606053099537,11.34267619054842,0.924924291363289,6.3252546185092555,True,3
113,50.96018,3.55578,0.1322504525267792,27.720340469277986,227.0,0.6036536934074662,0.3154121863799283,18.358092061948323,0.8677495474732208,5.429345628954441,True,2
114,50.9598305,3.555502,0.0933421919434463,3.595431586623917,66.0,0.6028594122319301,0.3333333333333333,18.38225133614264,0.9066578080565536,4.204692619390966,True,2
115,51.1058367,3.4350591,0.1189314872243699,69.79897791239216,650.0,0.6020816653322658,0.308182784272051,30.069445363203616,0.88106851277563,6.478509642208569,True,2
116,50.9986113,3.8040599,0.0907284049016808,22.810434091564083,280.0,0.6020816653322658,0.305993690851735,2.2017623182115953,0.9092715950983192,5.638354669333745,True,3
117,50.9986113,3.8040599,0.1332345190973027,43.82262144483221,348.0,0.6020816653322658,0.2682060390763766,2.2017623182115953,0.8667654809026972,5.855071922202427,True,3
118,51.028049,3.7681359,0.0,0.0,979.5,0.6003210272873194,0.2545317220543807,6.278243099303229,1.0,6.888062645636401,True,3
