feature,coef,abs_coef,pct_change
weekend,-0.4043361128682402,0.4043361128682402,-33.258024480336026
holiday,-0.4011493130330328,0.4011493130330328,-33.0449918979404
station_km,0.18205243755916098,0.18205243755916098,19.96771003694473
covid,-0.1752271279332163,0.1752271279332163,-16.07336217180072
temp_mean,0.16621222943627242,0.16621222943627242,18.08236806763075
rainy_slots,-0.12892631042721328,0.12892631042721328,-12.096126085186487
radiation_mean,0.07438605845066946,0.07438605845066946,7.722259611779747
sun_min,0.06768955869567155,0.06768955869567155,7.003307444855333
commute_share,0.06001547613338084,0.06001547613338084,6.185297979654392
n_slots,0.05937344886303248,0.05937344886303248,6.117146002696261
wind_mean,-0.057445898270679835,0.057445898270679835,-5.582702960487296
gust_max,-0.039301374008344436,0.039301374008344436,-3.853909384813825
heavy_rain_day,-0.01982685075697567,0.01982685075697567,-1.963159134059833
dow,-0.015303478267187597,0.015303478267187597,-1.5186975102001399
heavy_slots,-0.01429500945054823,0.01429500945054823,-1.4193320925758757
rain_day,-0.013799464351289988,0.013799464351289988,-1.3704688197349824
pressure_mean,0.010559202787844117,0.010559202787844117,1.0615147908167089
hum_mean,0.007004794943521364,0.007004794943521364,0.7029385904301799
log_rain,0.0016833969380248169,0.0016833969380248169,0.16848146460604063
month,-0.0007866323700800879,0.0007866323700800879,-0.07863230559480572
